PassengerId,Alone,CompCntReduced,HomePlanetOrd,CryoSleep,CabinDeckOrd,CabinPort,DestinationOrd,DiscretizedAge4,DiscretizedAge5,VIP,PosRoomService,PosFoodCourt,PosShoppingMall,PosSpa,PosVRDeck,PTTotalSpent,Transported
0001_01,TRUE,0,1,FALSE,0,TRUE,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1403312343363434,FALSE
0002_01,TRUE,0,0,FALSE,3,FALSE,2,1,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.5764972940581053,TRUE
0003_01,FALSE,1,1,FALSE,5,FALSE,2,3,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1.5016106599378565,FALSE
0003_02,FALSE,1,1,FALSE,5,FALSE,2,2,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1.2424611460687929,FALSE
0004_01,TRUE,0,0,FALSE,3,FALSE,2,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.7040607010219071,TRUE
0005_01,TRUE,0,0,FALSE,3,TRUE,1,3,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.592626072470834,TRUE
0006_01,FALSE,1,0,FALSE,3,FALSE,2,1,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.8280081282693589,TRUE
0006_02,FALSE,1,0,TRUE,4,FALSE,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1403312343363434,TRUE
0007_01,TRUE,0,0,FALSE,3,FALSE,2,2,3,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.6813740485512483,TRUE
0008_01,FALSE,2,1,TRUE,0,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1403312343363434,TRUE
0008_02,FALSE,2,1,TRUE,0,TRUE,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1403312343363434,TRUE
0008_03,FALSE,2,1,FALSE,0,TRUE,0,3,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.4104413752638314,TRUE
0009_01,TRUE,0,2,FALSE,3,TRUE,2,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.7642358943503496,TRUE
0010_01,TRUE,0,0,FALSE,4,FALSE,2,3,4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.6068405438322135,FALSE
0011_01,TRUE,0,0,FALSE,3,TRUE,2,2,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.6765248418711229,TRUE
0012_01,TRUE,0,0,FALSE,4,FALSE,2,2,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.644142400528122,FALSE
0014_01,TRUE,0,2,FALSE,3,TRUE,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.7885231130050132,FALSE
0015_01,TRUE,0,0,FALSE,3,TRUE,0,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.531011162790874,FALSE
