PassengerId,Alone,CompCntReduced,HomePlanetOrd,CryoSleep,CabinDeckOrd,CabinPort,DestinationOrd,DiscretizedAge4,DiscretizedAge5,VIP,PosRoomService,PosFoodCourt,PosShoppingMall,PosSpa,PosVRDeck,PTTotalSpent,Transported
0001_01,True,0,1.0,False,0.0,True,2.0,3.0,3.0,False,False,False,False,False,False,-1.1403312343363434,False
0002_01,True,0,0.0,False,3.0,False,2.0,1.0,2.0,False,True,True,True,True,True,0.5764972940581053,True
0003_01,False,1,1.0,False,5.0,False,2.0,3.0,4.0,True,True,True,False,True,True,1.5016106599378563,False
0003_02,False,1,1.0,False,5.0,False,2.0,2.0,3.0,False,False,True,True,True,True,1.2424611460687929,False
0004_01,True,0,0.0,False,3.0,False,2.0,0.0,0.0,False,True,True,True,True,True,0.7040607010219071,True
0005_01,True,0,0.0,False,3.0,True,1.0,3.0,4.0,False,False,True,False,True,False,0.592626072470834,True
0006_01,False,1,0.0,False,3.0,False,2.0,1.0,2.0,False,True,True,True,False,False,0.8280081282693589,True
0006_02,False,1,0.0,True,4.0,False,2.0,2.0,2.0,False,False,False,False,False,False,-1.1403312343363434,True
0007_01,True,0,0.0,False,3.0,False,2.0,2.0,3.0,False,False,True,True,True,False,0.6813740485512483,True
0008_01,False,2,1.0,True,0.0,True,0.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0008_02,False,2,1.0,True,0.0,True,2.0,2.0,3.0,False,False,False,False,False,False,-1.1403312343363434,True
0008_03,False,2,1.0,False,0.0,True,0.0,3.0,4.0,False,True,True,True,True,True,1.4104413752638314,True
0009_01,True,0,2.0,False,3.0,True,2.0,2.0,3.0,False,True,False,True,False,True,0.7642358943503496,True
0010_01,True,0,0.0,False,4.0,False,2.0,3.0,4.0,False,True,True,True,False,True,0.6068405438322135,False
0011_01,True,0,0.0,False,3.0,True,2.0,2.0,2.0,False,True,True,True,True,True,0.6765248418711229,True
0012_01,True,0,0.0,False,,,2.0,2.0,3.0,False,True,False,True,False,False,0.644142400528122,False
0014_01,True,0,2.0,False,3.0,True,0.0,2.0,2.0,False,True,True,False,False,False,0.7885231130050132,False
0015_01,True,0,0.0,False,3.0,True,0.0,1.0,2.0,False,False,True,False,False,True,0.531011162790874,False
0016_01,True,0,2.0,True,3.0,True,2.0,3.0,4.0,False,False,False,False,False,False,-1.1403312343363434,True
0017_01,False,1,0.0,False,4.0,True,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0017_02,False,1,0.0,False,3.0,True,0.0,0.0,0.0,False,True,False,True,False,True,0.7043615217758314,False
0020_01,False,3+,0.0,True,2.0,False,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,False
0020_02,False,3+,0.0,True,2.0,False,0.0,3.0,4.0,False,False,False,False,False,False,-1.1403312343363434,False
0020_03,False,3+,0.0,True,2.0,False,0.0,2.0,2.0,False,False,False,False,False,False,-1.1403312343363434,False
0020_04,False,3+,0.0,False,2.0,False,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0020_05,False,3+,0.0,True,2.0,False,1.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,False
0020_06,False,3+,0.0,False,2.0,False,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,False
0022_01,True,0,2.0,False,5.0,True,2.0,1.0,1.0,False,True,True,True,False,False,0.6918116853800746,False
0024_01,True,0,1.0,True,1.0,False,2.0,3.0,4.0,False,False,False,False,False,False,-1.1403312343363434,True
0025_01,True,0,0.0,False,3.0,False,2.0,0.0,0.0,False,False,True,False,True,False,0.7417030187669986,False
0026_01,True,0,1.0,False,1.0,True,0.0,2.0,3.0,False,True,True,False,True,True,1.3966025940357292,False
0028_01,True,0,2.0,False,3.0,True,2.0,3.0,4.0,False,True,False,True,True,False,0.7642358943503496,False
0030_01,True,0,0.0,False,4.0,False,2.0,2.0,3.0,False,False,True,True,True,True,0.8751497772973917,False
0031_01,False,2,2.0,False,3.0,True,2.0,3.0,4.0,False,True,False,True,False,True,1.0300524013840666,True
0031_02,False,2,2.0,False,3.0,True,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0031_03,False,2,2.0,False,3.0,True,2.0,1.0,1.0,False,False,False,True,True,False,1.0158097944537192,True
0034_01,True,0,1.0,True,5.0,False,0.0,2.0,2.0,False,False,False,False,False,False,-1.1403312343363434,True
0035_01,True,0,2.0,False,5.0,True,0.0,1.0,1.0,False,True,True,False,True,False,1.0105517815320393,False
0036_01,True,0,0.0,False,3.0,False,0.0,0.0,0.0,False,False,True,True,True,True,0.6625778445808239,False
0038_01,True,0,0.0,False,3.0,False,0.0,1.0,1.0,False,True,True,False,True,False,1.0869381862526846,False
0039_01,True,0,0.0,True,4.0,True,0.0,2.0,2.0,False,False,False,False,False,False,-1.1403312343363434,False
0041_01,True,0,0.0,True,4.0,True,2.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0043_01,True,0,1.0,False,0.0,True,2.0,3.0,4.0,False,False,True,True,True,True,1.1094439394122697,False
0044_01,False,2,0.0,True,4.0,True,2.0,3.0,4.0,False,False,False,False,False,False,-1.1403312343363434,False
0044_02,False,2,0.0,True,4.0,True,0.0,0.0,0.0,False,False,False,False,False,False,-1.1403312343363434,True
0044_03,False,2,0.0,True,4.0,True,1.0,1.0,1.0,False,False,False,False,False,False,-1.1403312343363434,True
0045_01,False,1,2.0,False,3.0,True,2.0,1.0,1.0,False,True,False,True,False,True,0.7392600402886483,False
